ICAOIATAKEY,ICAOCODE,IATACODE,DESCRIPTION,LAT,LON
3868,FEFT,BBT,BERBERATI,4.221583,15.786369
3474,LRBS,BBU,BUCHAREST(BANEASA),44.503194,26.102111
636,FLZB,BBZ,ZAMBEZI,,
303,MUBA,BCA,BARACOA,20.365317,-74.506206
3168,RPVB,BCD,BACOLOD,10.642511,122.929617
2975,WPEC,BCH,BAUCAU,-8.485547,126.399389
2992,YBAR,BCI,BARCALDINE,-23.5653,145.307
3472,LRBC,BCM,BACAU,46.521946,26.910278
427,LEBL,BCN,BARCELONA,41.297078,2.078464
651,HABC,BCO,BACO,5.78287,36.562
2572,SBBA,BCR,BOCA DO ACRE NOVO CAMPO,,
222,TXKF,BDA,BERMUDA,32.364042,-64.678703
1,YBUD,BDB,BUNDABERG,-24.903889,152.318611
2791,OIBL,BDH,BANDAR LENGEH,26.532,54.824847
1499,WAOO,BDJ,BANJARMASIN-SYAMSUDDIN NOOR,-3.442356,114.762553
3512,LTBG,BDM,BANDIRMA,40.317972,27.977694
889,WICC,BDO,HUSEIN SASTRANEGARA-BANDUNG,-6.900625,107.576294
1426,VABO,BDQ,VADODARA,22.336164,73.226289
3677,LIBR,BDS,BRINDISI,40.657633,17.947033
2508,FZFD,BDT,GBADOLITE,4.253206,20.975283
1348,ENDU,BDU,BARDUFOSS,69.055758,18.540356
456,EGPL,BEB,BENBECULA,57.481111,-7.362778
3217,LYBE,BEG,BELGRADE,44.818444,20.309139
652,HABE,BEI,BEGI,9.38639,34.5219
2573,SBBE,BEL,BELEM,-1.37925,-48.476292
337,HLLB,BEN,BENGHAZI BENINA,32.096786,20.269472
878,LFRB,BES,BREST GUIPAVAS,48.447911,-4.418539
47,PABE,BET,BETHEL,60.779778,-161.838
2997,YBIE,BEU,BEDOURIE,-24.3461,139.46
1173,LLBS,BEV,BEER-SHEBA,31.287003,34.722953
1270,FQBR,BEW,BEIRA,-19.796419,34.907556
476,EGUB,BEX,BENSON,51.616389,-1.095833
2820,OLBA,BEY,BEIRUT INTL,33.820931,35.488389
2176,EDLI,BFE,BIELEFELD,51.964833,8.544833
3808,FABL,BFN,BLOEMFONTEIN,-29.092722,26.302444
2476,FVCZ,BFO,CHIREDZI,-21.008083,31.57855
1851,EGAA,BFS,BELFAST ALDERGROVE,54.6575,-6.215833
2385,VTUO,BFV,BURIRUM,15.229539,103.253231
1202,FKKU,BFX,BAFOUSSAM,5.536919,10.354583
2550,SKBG,BGA,BUCARMANGA,7.1265,-73.184778
1189,LPBG,BGC,BRAGANCA,41.8578,-6.707125
3865,FEFF,BGF,BANGUI,4.398475,18.518786
193,TBPB,BGI,BARBADOS-ADAMS,13.074603,-59.492456
3798,ETUR,BGN,BRUGGEN,,
1343,ENBR,BGO,BERGEN FLESLAND,60.293386,5.218142
1915,PBGQ,BGQ,BIG LAKE,,
1958,PAGQ,BGQ,BIG LAKE,,
3866,FEFG,BGU,BANGASSOU,,
4020,SBBG,BGX,CMTE GUSTAVO KRAEMER,-31.390528,-54.112244
2370,LIME,BGY,BERGAMO ORIO AL SERIO,45.673889,9.704166
1190,LPBR,BGZ,BRAGA,41.587058,-8.445139
4042,SESV,BHA,LOS PERALES,,
1853,EGAC,BHD,BELFAST CITY,54.618056,-5.8725
3978,NZWB,BHE,WOODBOURNE (MILITARY),-41.518333,173.870278
1078,OEBH,BHH,BISHA,19.98435,42.620881
2559,SAZB,BHI,BAHIA BLANCA,-38.724967,-62.169317
1424,VABJ,BHJ,BHUJ,23.287828,69.670147
413,UTSB,BHK,BUKHARA,39.775,64.483333
36,OYBN,BHN,BEIHAN,14.781972,45.720083
37,OYBS,BHN,BEIHAN,,
1427,VABP,BHO,BHOPAL,23.287467,77.337375
2399,YBHI,BHQ,BROKEN HILL,-32.0014,141.472
2900,VNBP,BHR,BHARATPUR,27.6781,84.4294
3011,YBTH,BHS,BATHURST,-33.4094,149.652
1428,VABV,BHU,BHAVNAGAR,21.752206,72.185181
2907,OPBW,BHV,BAHAWALPUR,29.3481,71.717981
2933,OPSR,BHW,SARGODHA,,
1855,EGBB,BHX,BIRMINGHAM,52.453856,-1.748028
2574,SBBH,BHZ,BELO HORIZONTE-PAMPULHA,-19.851181,-43.950628
813,LFKB,BIA,BASTIA,42.552664,9.483731
676,HCMB,BIB,BAIDOA,,
2677,WABB,BIK,BIAK,-1.190017,136.107997
1009,MYBS,BIM,BIMINI,25.699881,-79.264656
426,LEBB,BIO,BILBAO,43.301097,-2.910608
793,LFBZ,BIQ,BIARRITZ BAYONNE,43.468419,-1.523325
2615,VNVT,BIR,BIRATNAGAR,26.481453,87.264036
370,BIBD,BIU,BILDUDALUR,65.641389,-23.546111
3807,FABE,BIY,BISHO,-32.89715,27.279111
1567,DAAE,BJA,BEJAIA,36.711997,5.069922
159,OIMN,BJB,BOJNORD,37.492958,57.308219
1344,ENBS,BJF,BATSFJORD,70.600278,29.6925
2531,GBYD,BJL,BANJUL-YUNDUM,13.337961,-16.652206
3447,HBBA,BJM,BUJUMBURA,-3.324019,29.318519
3440,HABD,BJR,BAHAR DAR,11.608075,37.321644
880,LTFE,BJV,MILAS BODRUM,37.82,28.204
3580,MMLO,BJX,LEON DEL BAJIO,20.993464,-101.480847
3950,LYBT,BJY,BATAJNICA,,
428,LEBZ,BJZ,BADAJOZ,38.89125,-6.821333
3695,UUBB,BKA,BYKOVO,55.617222,38.059999
2831,PHBK,BKH,BARKING SANDS PMRF,22.022833,-159.785
1515,WBKK,BKI,KOTA KINABALU,5.937208,116.051181
2374,VTBS,BKK,BANGKOK/SUVARNABUMI,13.681108,100.747283
2637,VTBD,BKK,BANGKOK INT,13.912583,100.60675
2525,GABS,BKO,BAMAKO SENOU,12.533544,-7.949944
2993,YBCK,BKQ,BLACKALL,-24.427778,145.428611
3213,WIPL,BKS,BENGKULU,-3.8637,102.339036
2515,FZMA,BKY,BUKAVU,-2.308978,28.808803
2783,SVBC,BLA,BARCELONA,10.107139,-64.689161
293,MPHO,BLB,BALBOA HOWARD,8.914794,-79.599633
2543,MPPA,BLB,PANAMA PACIFICO,,
3777,ESSD,BLE,BORLANGE,60.422017,15.515211
49,PABL,BLG,BELUGA,65.981667,-161.149167
1951,PABG,BLG,BELUGA,,
2403,DABT,BLJ,MOSTEPHA BEN BOULAID,35.752106,6.308589
421,EGNH,BLK,BLACKPOOL,53.771667,-3.028611
1321,EKBI,BLL,BILLUND,55.740322,9.151778
3000,YBLA,BLN,BENALLA,,
1530,LIPE,BLQ,BOLOGNA,44.535444,11.288667
2616,VOBG,BLR,BANGALORE,,
4055,VOBL,BLR,BANGALORE INTL,12.949986,77.668206
3002,YBLL,BLS,BOLLON,,
3013,YBTR,BLT,BLACKWATER,-23.6031,148.807
2363,LIDB,BLX,BELLUNO,,
2485,FWCL,BLZ,BLANTYRE CHILEKA,-15.679053,34.974014
3776,ESSB,BMA,STOCKHOLM BROMMA,59.354372,17.94165
1221,FMML,BMD,BELO TSIRIBIHINA,-19.6867,44.5419
3892,YBRM,BME,BROOME,,
1806,EDWR,BMK,BORKUM,53.5955,6.709167
1261,FOOB,BMM,BITAM,2.075639,11.493195
3007,YBPI,BMP,BRAMPTON ISLAND,,
2389,VVBM,BMV,BUON MA THUOT,12.668311,108.120272
4085,DATM,BMW,BORDJ MOKHTAR,21.375,0.923889
50,PABM,BMX,BIG MOUNTAIN,59.361247,-155.258822
2803,OIKB,BND,BANDAR ABBASS,27.218317,56.37785
3264,YBBN,BNE,BRISBANE,-27.384167,153.1175
1789,DNBE,BNI,BENIN,6.316981,5.599503
3003,YBNA,BNK,BALLINA,-28.833889,153.5625
1341,ENBN,BNN,BRONNOYSUND/BRONNOY,65.461111,12.2175
1161,OPBN,BNP,BANNU,32.9729,70.5279
2784,SVBI,BNS,BARINAS,8.619575,-70.220825
3467,LQBK,BNX,BANJA LUKA,44.941444,17.297501
2578,SBBV,BOA,BOA VISTA INTL,2.846311,-60.690069
1044,NTTB,BOB,BORA BORA,-16.444378,-151.751286
290,MPBO,BOC,BOCAS DEL TORO,9.340853,-82.250842
777,LFBD,BOD,BORDEAUX MERIGNAC,44.828335,-0.715556
2551,SKBO,BOG,SANTAFE DE BOGOTA ELDORADO,4.701594,-74.146947
1884,EGHH,BOH,BOURNEMOUTH HURN,50.78,-1.8425
1142,LBBG,BOJ,BURGAS,42.569583,27.515236
1422,VABB,BOM,MUMBAI,19.088686,72.867919
